unique_id,n_obs,mean_demand,total_demand,zero_share,adi,cv2,n_nonzero
FOODS_1_001_CA_1,1969,0.7973590655154901,1570.0,0.5611985779583545,2.278935185185185,0.5555555766578054,864
FOODS_1_001_CA_2,1969,1.1615033011681057,2287.0,0.4834941594718131,1.936086529006883,0.7283275317849445,1017
FOODS_1_001_CA_3,1969,1.202133062468258,2367.0,0.547993905535805,2.2123595505617977,1.1494510893123346,890
FOODS_1_001_CA_4,1968,0.3617886178861789,712.0,0.7408536585365854,3.8588235294117648,0.3265856360538708,510
FOODS_1_001_TX_1,1968,0.5884146341463414,1158.0,0.6681910569105691,3.013782542113323,0.982470480946744,653
FOODS_1_001_TX_2,1967,0.5785460091509913,1138.0,0.6542958820538892,2.8926470588235293,0.5813417549470651,680
FOODS_1_001_TX_3,1959,0.41296579887697804,809.0,0.7187340479836651,3.5553539019963702,0.4058484036830849,551
FOODS_1_001_WI_1,1968,0.5630081300813008,1108.0,0.630589430894309,2.707015130674003,0.32930842124873905,727
FOODS_1_001_WI_2,1964,0.46741344195519346,918.0,0.6945010183299389,3.2733333333333334,0.4959780675939671,600
FOODS_1_001_WI_3,1964,0.29633401221995925,582.0,0.794806517311609,4.873449131513648,0.34767013528853175,403
FOODS_1_002_CA_1,1968,0.4898373983739837,964.0,0.6610772357723578,2.9505247376311843,0.2952593892251439,667
FOODS_1_002_CA_2,1969,0.6145251396648045,1210.0,0.6251904520060945,2.668021680216802,0.37660483371495285,738
FOODS_1_002_CA_3,1969,0.3265617064499746,643.0,0.7562214321990859,4.102083333333334,0.2532092284573211,480
FOODS_1_002_CA_4,1968,0.3384146341463415,666.0,0.7362804878048781,3.791907514450867,0.24310293283996723,519
FOODS_1_002_TX_1,1958,0.17160367722165476,336.0,0.8697650663942799,7.67843137254902,0.3520929163988431,255
FOODS_1_002_TX_2,1967,0.2364006100660905,465.0,0.8022369089984749,5.056555269922879,0.182446120342856,389
FOODS_1_002_TX_3,1967,0.27707168276563293,545.0,0.7935943060498221,4.844827586206897,0.2211760285381473,406
FOODS_1_002_WI_1,1968,0.7576219512195121,1491.0,0.5442073170731707,2.1939799331103678,0.37996982505842763,897
FOODS_1_002_WI_2,1969,0.33214829862874556,654.0,0.7521584560690706,4.034836065573771,0.25327550916886776,488
FOODS_1_002_WI_3,1968,0.3313008130081301,652.0,0.7621951219512195,4.205128205128205,0.29529769483087265,468
FOODS_1_003_CA_1,1965,0.8269720101781171,1625.0,0.5297709923664122,2.1266233766233764,0.38994305771634824,924
FOODS_1_003_CA_2,1969,1.6297613001523616,3209.0,0.35500253936008125,1.5503937007874016,0.48958000500540205,1270
FOODS_1_003_CA_3,1969,1.0259014728288471,2020.0,0.4611477907567293,1.8557964184731386,0.4352200205122325,1061
FOODS_1_003_CA_4,1968,0.4740853658536585,933.0,0.6839430894308943,3.1639871382636655,0.7325102880658435,622
FOODS_1_003_TX_1,1964,0.45621181262729127,896.0,0.7128309572301426,3.482269503546099,0.5394909032107514,564
