unique_id,n_obs,mean_demand,total_demand,zero_share,adi,cv2,n_nonzero,volume_stratum,intermittency_stratum,stratum
FOODS_1_017_WI_3,1550,0.2270967741935484,352.0,0.84,6.25,0.33438033258607425,248,low,sparse,low_sparse
FOODS_1_021_TX_2,1223,0.9067865903515945,1109.0,0.5233033524121014,2.097770154373928,0.560043982798537,583,mid,medium,mid_medium
FOODS_1_029_TX_2,1905,0.226246719160105,431.0,0.836745406824147,6.12540192926045,1.6454953303681406,311,low,sparse,low_sparse
FOODS_1_042_TX_1,1451,4.350103376981392,6312.0,0.19710544452102,1.2454935622317596,0.3618876924602127,1165,high,dense,high_dense
FOODS_1_054_TX_3,1969,0.627729812087354,1236.0,0.6317927882173692,2.7158620689655173,0.41574373529580755,725,mid,medium,mid_medium
FOODS_1_070_CA_2,1218,0.7717569786535303,940.0,0.6477832512315271,2.839160839160839,0.5403382985069577,429,mid,medium,mid_medium
FOODS_1_071_TX_1,1304,0.5996932515337423,782.0,0.6441717791411042,2.810344827586207,0.6403017363990231,464,mid,medium,mid_medium
FOODS_1_082_TX_3,1194,3.8668341708542715,4617.0,0.16164154103852596,1.1928071928071928,0.568183628048427,1001,high,dense,high_dense
FOODS_1_105_CA_2,1517,0.8233355306526038,1249.0,0.6598549769281477,2.939922480620155,0.4950430433816686,516,mid,medium,mid_medium
FOODS_1_112_CA_1,1969,2.302691721686135,4534.0,0.28593194514982223,1.4004267425320056,0.5262594909162313,1406,high,dense,high_dense
FOODS_1_130_WI_2,1969,1.585068562722194,3121.0,0.35449466734382934,1.5491738788355625,0.39061675650511984,1271,high,dense,high_dense
FOODS_1_133_WI_3,1968,0.9796747967479674,1928.0,0.6351626016260162,2.7409470752089136,0.8953442496756502,718,mid,medium,mid_medium
FOODS_1_180_TX_2,1969,1.0274250888776029,2023.0,0.5180294565769427,2.0748155953635408,0.7615125013849848,949,mid,medium,mid_medium
FOODS_1_193_CA_2,1085,0.8811059907834101,956.0,0.6414746543778802,2.789203084832905,0.984270774808478,389,mid,medium,mid_medium
